,popularity,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
popularity,1.0,0.3458214164891194,0.0985326407131376,0.009401397618384572,0.00039041570766740603,0.10409653192966306,-0.023837345319290666,-0.024700490932065798,-0.059180528618277384,-0.15289291166851562,-0.05696845810655339,-0.018070226313806226,0.0025661856529532803,-0.11848400907807165,0.030830213239220642
year,0.3458214164891194,1.0,0.04008737044265968,0.0195950463731369,-0.003479504441440206,0.041414617913783834,-0.03134967678823402,0.02886440805224347,-0.025509602458944396,0.013619836463524175,-0.015538206050489459,-0.10090654120891072,0.018774460988454977,-0.0903713897660627,0.008465168775284911
danceability,0.0985326407131376,0.04008737044265968,1.0,0.1392674676680199,0.03136335017729181,0.2571741983971568,-0.051711277590798695,0.08653619781287775,-0.17645561558857342,-0.169121972446001,-0.11967145355012275,0.5198999113323229,-0.01615702917159427,-0.025873739970258394,0.1839180104909349
energy,0.009401397618384572,0.0195950463731369,0.1392674676680199,1.0,0.03846174905649117,0.7810056565610544,-0.05205197290657045,0.11417636492767973,-0.7526617580488713,-0.18433136354484214,0.18911722105694787,0.24796790171521407,0.2651668176563387,0.01242216320858485,0.17119044514987009
key,0.00039041570766740603,-0.003479504441440206,0.03136335017729181,0.03846174905649117,1.0,0.026865702486714306,-0.16763379368114495,0.012875217548148396,-0.034510063857786676,0.00022550729157193292,-0.005425536367063547,0.025927548853369623,0.009527503492648064,0.008626237195726541,0.010431096858889053
loudness,0.10409653192966306,0.041414617913783834,0.2571741983971568,0.7810056565610544,0.026865702486714306,1.0,-0.019085506536455975,0.02312584692177102,-0.6216982659170083,-0.40357479862829865,0.09077939940412316,0.29491196595930613,0.23402718320874083,-0.04847393408742749,0.17152680565628986
mode,-0.023837345319290666,-0.03134967678823402,-0.051711277590798695,-0.05205197290657045,-0.16763379368114495,-0.019085506536455975,1.0,-0.02009574724382851,0.06764466519961387,-0.058788851353373146,0.02480074589349156,0.01889099989326035,-0.005237090369016477,-0.038654360010078166,-0.01673018444504381
speechiness,-0.024700490932065798,0.02886440805224347,0.08653619781287775,0.11417636492767973,0.012875217548148396,0.02312584692177102,-0.02009574724382851,1.0,0.031638434577286524,-0.14241714882663298,0.28248242919235084,0.03934869409887429,-0.031945223993341904,-0.06239580437803522,-0.028078264330074855
acousticness,-0.059180528618277384,-0.025509602458944396,-0.17645561558857342,-0.7526617580488713,-0.034510063857786676,-0.6216982659170083,0.06764466519961387,0.031638434577286524,1.0,0.09428135009775385,-0.03053619081584137,-0.10328512657179607,-0.24086076181926688,-0.06420455473777086,-0.16955149485261456
instrumentalness,-0.15289291166851562,0.013619836463524175,-0.169121972446001,-0.18433136354484214,0.00022550729157193292,-0.40357479862829865,-0.058788851353373146,-0.14241714882663298,0.09428135009775385,1.0,-0.12997614492556742,-0.3151999944477315,-0.031744769491441456,0.16286991051577607,-0.056557453476851274
liveness,-0.05696845810655339,-0.015538206050489459,-0.11967145355012275,0.18911722105694787,-0.005425536367063547,0.09077939940412316,0.02480074589349156,0.28248242919235084,-0.03053619081584137,-0.12997614492556742,1.0,0.007963655602316577,-0.002808956845546604,-0.007671928569771034,-0.01806254032963638
valence,-0.018070226313806226,-0.10090654120891072,0.5198999113323229,0.24796790171521407,0.025927548853369623,0.29491196595930613,0.01889099989326035,0.03934869409887429,-0.10328512657179607,-0.3151999944477315,0.007963655602316577,1.0,0.08303398848583997,-0.1314787990978065,0.12175459690892007
tempo,0.0025661856529532803,0.018774460988454977,-0.01615702917159427,0.2651668176563387,0.009527503492648064,0.23402718320874083,-0.005237090369016477,-0.031945223993341904,-0.24086076181926688,-0.031744769491441456,-0.002808956845546604,0.08303398848583997,1.0,0.01051842605386365,0.06191890790512175
duration_ms,-0.11848400907807165,-0.0903713897660627,-0.025873739970258394,0.01242216320858485,0.008626237195726541,-0.04847393408742749,-0.038654360010078166,-0.06239580437803522,-0.06420455473777086,0.16286991051577607,-0.007671928569771034,-0.1314787990978065,0.01051842605386365,1.0,0.017072221388927347
time_signature,0.030830213239220642,0.008465168775284911,0.1839180104909349,0.17119044514987009,0.010431096858889053,0.17152680565628986,-0.01673018444504381,-0.028078264330074855,-0.16955149485261456,-0.056557453476851274,-0.01806254032963638,0.12175459690892007,0.06191890790512175,0.017072221388927347,1.0
